,CCCI,forecast2
2020-10-01,98.9,100.086716
2020-11-01,99.4,100.20262
2020-12-01,99.4,100.40421
2021-01-01,99.2,100.48467
2021-02-01,99.2,100.334656
2021-03-01,99.7,100.00136
2021-04-01,100.4,99.523125
2021-05-01,100.5,99.48157
2021-06-01,100.6,99.804405
2021-07-01,100.7,100.125984
2021-08-01,100.9,100.48023
2021-09-01,100.8,100.67331
2021-10-01,100.9,100.77717
2021-11-01,101.1,100.72286
2021-12-01,101.8,100.6435
2022-01-01,102.4,100.552734
2022-02-01,102.6,100.432816
2022-03-01,102.4,100.17137
