,CCCI,forecast2
2004-03-01,101.5,100.40251
2004-04-01,101.5,101.42371
2004-05-01,101.1,101.50922
2004-06-01,100.9,101.04083
2004-07-01,100.5,100.63791
2004-08-01,100.0,100.219124
2004-09-01,99.8,99.78426
2004-10-01,99.6,99.59661
2004-11-01,99.5,99.535645
2004-12-01,99.1,99.31335
2005-01-01,99.0,98.89553
2005-02-01,98.7,98.831726
2005-03-01,98.8,98.71339
2005-04-01,98.6,98.76309
2005-05-01,98.7,98.64928
2005-06-01,98.6,98.66388
2005-07-01,98.7,98.60083
2005-08-01,98.7,98.663345
2005-09-01,98.7,98.72981
2005-10-01,98.7,98.877075
2005-11-01,99.1,99.024796
2005-12-01,99.4,99.47028
2006-01-01,99.8,99.71256
2006-02-01,99.7,99.99566
2006-03-01,99.9,99.780014
2006-04-01,99.9,99.909485
2006-05-01,100.1,99.94048
2006-06-01,100.0,100.02101
2006-07-01,99.3,99.79746
2006-08-01,99.3,98.99966
2006-09-01,99.5,99.49132
2006-10-01,100.5,100.35077
2006-11-01,100.8,100.88826
2006-12-01,101.0,100.71934
2007-01-01,100.8,100.804115
2007-02-01,101.0,100.77255
2007-03-01,101.2,100.96067
2007-04-01,101.4,101.27329
2007-05-01,101.4,101.46436
2007-06-01,101.5,101.375984
2007-07-01,101.5,101.42909
2007-08-01,101.6,101.57582
2007-09-01,101.5,101.678734
2007-10-01,101.6,101.5151
2007-11-01,101.7,101.608055
2007-12-01,102.1,101.82071
2008-01-01,102.4,102.22817
2008-02-01,102.3,102.434456
2008-03-01,102.3,102.27023
2008-04-01,102.0,102.13298
2008-05-01,101.7,101.76135
2008-06-01,101.2,101.378365
2008-07-01,100.9,100.89541
2008-08-01,100.8,100.66908
2008-09-01,100.7,100.676735
2008-10-01,100.4,100.3798
2008-11-01,99.6,99.646614
2008-12-01,98.4,98.53078
2009-01-01,97.7,97.69876
2009-02-01,97.6,97.56811
2009-03-01,97.6,97.64524
2009-04-01,97.8,97.72583
2009-05-01,97.8,97.94832
2009-06-01,98.4,98.26998
2009-07-01,98.6,98.68848
2009-08-01,98.7,98.740845
2009-09-01,98.8,98.80129
2009-10-01,99.0,98.9969
2009-11-01,99.1,99.03699
2009-12-01,99.0,99.13901
2010-01-01,99.3,99.278885
