,CCCI,forecast2
2014-01-01,100.4,100.244934
2014-02-01,100.4,100.35646
2014-03-01,100.5,100.33977
2014-04-01,100.3,100.38466
2014-05-01,100.1,100.15511
2014-06-01,100.1,99.98567
2014-07-01,100.1,100.082924
2014-08-01,100.2,100.08375
2014-09-01,99.9,100.22351
2014-10-01,99.5,99.9919
2014-11-01,99.4,99.61983
2014-12-01,99.7,99.59513
2015-01-01,99.7,99.798454
2015-02-01,100.1,99.80519
2015-03-01,99.9,100.1351
2015-04-01,99.9,99.962875
2015-05-01,99.4,99.92457
2015-06-01,99.4,99.50715
2015-07-01,99.4,99.55627
2015-08-01,99.9,99.86818
2015-09-01,100.5,100.4172
2015-10-01,100.9,100.86206
2015-11-01,100.7,100.96062
2015-12-01,100.6,100.6943
2016-01-01,100.2,100.54174
2016-02-01,100.1,100.230934
2016-03-01,100.0,100.18986
2016-04-01,100.0,100.1753
2016-05-01,100.3,100.22333
2016-06-01,100.6,100.47801
2016-07-01,100.9,100.63208
2016-08-01,101.0,100.753746
2016-09-01,100.8,100.70769
2016-10-01,100.6,100.71362
2016-11-01,100.9,100.82444
2016-12-01,101.1,101.187584
2017-01-01,101.6,101.43763
2017-02-01,101.6,101.78772
2017-03-01,101.9,101.86399
2017-04-01,101.9,101.9998
2017-05-01,102.1,101.96502
2017-06-01,102.1,102.024574
2017-07-01,102.1,102.08425
2017-08-01,102.1,102.10689
2017-09-01,102.3,102.16923
2017-10-01,102.1,102.25799
2017-11-01,102.1,102.13952
2017-12-01,101.7,102.08894
2018-01-01,101.7,101.76258
2018-02-01,101.9,101.69778
2018-03-01,101.9,101.86922
2018-04-01,101.9,101.910645
2018-05-01,101.8,101.79488
2018-06-01,101.8,101.72257
2018-07-01,101.6,101.68136
2018-08-01,101.5,101.49187
2018-09-01,101.1,101.291046
2018-10-01,100.9,100.965576
2018-11-01,100.7,100.756836
2018-12-01,100.5,100.612236
2019-01-01,100.7,100.48074
2019-02-01,100.1,100.45923
2019-03-01,100.1,100.11256
2019-04-01,99.9,99.51333
2019-05-01,100.2,98.6526
2019-06-01,100.2,98.26025
2019-07-01,100.2,98.09234
2019-08-01,100.4,98.1301
2019-09-01,100.4,98.2359
2019-10-01,100.4,98.37003
2019-11-01,100.2,98.517914
2019-12-01,100.5,98.67
2020-01-01,100.8,98.81646
2020-02-01,100.1,98.942795
2020-03-01,99.0,99.05099
2020-04-01,97.8,99.11661
2020-05-01,97.0,99.13841
2020-06-01,97.2,99.1301
2020-07-01,97.4,99.14007
2020-08-01,98.0,99.1933
2020-09-01,98.3,99.28406
2020-10-01,98.9,99.401634
2020-11-01,99.4,99.53755
2020-12-01,99.4,99.72049
2021-01-01,99.2,99.89921
2021-02-01,99.2,100.08088
2021-03-01,99.7,100.241394
2021-04-01,100.4,100.3816
2021-05-01,100.5,100.52697
2021-06-01,100.6,100.61955
2021-07-01,100.7,100.55975
2021-08-01,100.9,100.275925
2021-09-01,100.8,100.14067
2021-10-01,100.9,100.27789
2021-11-01,101.1,100.515884
2021-12-01,101.8,100.70896
2022-01-01,102.4,100.80997
2022-02-01,102.6,100.85313
2022-03-01,102.4,100.83048
