,CCCI,forecast2
2004-03-01,101.5,100.72378
2004-04-01,101.5,101.56056
2004-05-01,101.1,101.38178
2004-06-01,100.9,100.89046
2004-07-01,100.5,100.57161
2004-08-01,100.0,100.118256
2004-09-01,99.8,99.800804
2004-10-01,99.6,99.69332
2004-11-01,99.5,99.487015
2004-12-01,99.1,99.24104
2005-01-01,99.0,98.976776
2005-02-01,98.7,98.94655
2005-03-01,98.8,98.83999
2005-04-01,98.6,98.70422
2005-05-01,98.7,98.704895
2005-06-01,98.6,98.638985
2005-07-01,98.7,98.59244
2005-08-01,98.7,98.72485
2005-09-01,98.7,98.85808
2005-10-01,98.7,98.92259
2005-11-01,99.1,98.9598
2005-12-01,99.4,99.23527
2006-01-01,99.8,99.55574
2006-02-01,99.7,99.90668
2006-03-01,99.9,99.918945
2006-04-01,99.9,99.97822
2006-05-01,100.1,99.82279
2006-06-01,100.0,99.90218
2006-07-01,99.3,99.61718
2006-08-01,99.3,99.28524
2006-09-01,99.5,99.768906
2006-10-01,100.5,100.30012
2006-11-01,100.8,100.92409
2006-12-01,101.0,100.98229
2007-01-01,100.8,100.96999
2007-02-01,101.0,100.74925
2007-03-01,101.2,100.97702
2007-04-01,101.4,101.17828
2007-05-01,101.4,101.39163
2007-06-01,101.5,101.433334
2007-07-01,101.5,101.64396
2007-08-01,101.6,101.69661
2007-09-01,101.5,101.60112
2007-10-01,101.6,101.52481
2007-11-01,101.7,101.66992
2007-12-01,102.1,101.95556
2008-01-01,102.4,102.255066
2008-02-01,102.3,102.38281
2008-03-01,102.3,102.22349
2008-04-01,102.0,102.02014
2008-05-01,101.7,101.59515
2008-06-01,101.2,101.218544
2008-07-01,100.9,100.92769
2008-08-01,100.8,100.720955
2008-09-01,100.7,100.55713
2008-10-01,100.4,100.32143
2008-11-01,99.6,99.70702
2008-12-01,98.4,98.442406
2009-01-01,97.7,97.69662
2009-02-01,97.6,97.558586
2009-03-01,97.6,97.61568
2009-04-01,97.8,97.773094
2009-05-01,97.8,97.98788
2009-06-01,98.4,98.16577
2009-07-01,98.6,98.48885
2009-08-01,98.7,98.756386
2009-09-01,98.8,98.84724
2009-10-01,99.0,98.91772
2009-11-01,99.1,99.06457
2009-12-01,99.0,99.16463
2010-01-01,99.3,99.22679
2010-02-01,99.7,99.65798
2010-03-01,100.1,100.135
2010-04-01,100.5,100.54587
2010-05-01,100.9,100.86509
2010-06-01,101.0,101.0128
2010-07-01,101.2,100.89092
2010-08-01,100.9,100.873535
2010-09-01,100.4,100.50019
2010-10-01,99.9,100.01581
2010-11-01,99.8,99.75998
2010-12-01,100.0,100.15004
2011-01-01,100.9,100.54361
2011-02-01,100.7,101.02812
2011-03-01,100.8,100.878456
2011-04-01,100.4,100.90045
2011-05-01,100.8,100.65931
2011-06-01,101.1,100.93751
2011-07-01,101.2,101.14666
2011-08-01,101.3,101.11837
2011-09-01,100.9,101.11649
2011-10-01,101.0,100.7427
2011-11-01,100.6,100.76994
2011-12-01,100.5,100.43736
2012-01-01,100.2,100.45647
2012-02-01,100.6,100.340935
2012-03-01,100.5,100.502525
2012-04-01,100.4,100.51264
2012-05-01,100.5,100.49669
2012-06-01,100.5,100.5053
2012-07-01,100.7,100.45935
2012-08-01,100.1,100.356705
2012-09-01,100.1,100.057236
2012-10-01,99.7,99.96701
2012-11-01,100.0,99.77683
2012-12-01,100.1,100.043015
2013-01-01,100.0,100.21733
2013-02-01,100.0,100.07152
2013-03-01,99.7,100.06323
2013-04-01,99.8,99.72911
2013-05-01,99.8,99.72494
2013-06-01,100.1,99.71954
2013-07-01,100.0,100.01817
2013-08-01,100.1,100.091866
2013-09-01,99.9,100.19543
2013-10-01,100.1,100.008545
2013-11-01,100.1,100.14462
2013-12-01,100.2,100.1433
