date,direction
2021-12-22,290
2021-12-23,290
2021-12-24,290
2021-12-25,290
2021-12-26,290
2021-12-27,20
2021-12-28,50
2021-12-29,270
2021-12-30,290
2021-12-31,270
2022-01-01,20
2022-01-02,290
2022-01-03,250
2022-01-04,250
2022-01-05,50
2022-01-06,290
2022-01-07,250
2022-01-08,200
2022-01-09,270
2022-01-10,250
2022-01-11,290
2022-01-12,290
2022-01-13,270
2022-01-14,180
2022-01-15,50
2022-01-16,250
2022-01-17,270
2022-01-18,290
2022-01-19,320
2022-01-20,320
2022-01-21,50
2022-01-22,290
2022-01-23,250
2022-01-24,70
2022-01-25,270
2022-01-26,320
2022-01-27,290
2022-01-28,290
2022-01-29,320
2022-01-30,270
2022-01-31,250
2022-02-01,270
2022-02-02,250
2022-02-03,270
2022-02-04,290
2022-02-05,270
2022-02-06,290
2022-02-07,290
2022-02-08,290
2022-02-09,290
2022-02-10,320
2022-02-11,250
2022-02-12,270
2022-02-13,320
2022-02-14,270
2022-02-15,270
2022-02-16,270
2022-02-17,290
2022-02-18,270
2022-02-19,290
2022-02-20,290
2022-02-21,270
2022-02-22,320
2022-02-23,290
2022-02-24,320
2022-02-25,250
2022-02-26,290
2022-02-27,250
2022-02-28,200
2022-03-01,250
2022-03-02,230
2022-03-03,290
2022-03-04,180
2022-03-05,250
2022-03-06,320
2022-03-07,270
2022-03-08,270
2022-03-09,250
2022-03-10,200
2022-03-11,180
2022-03-12,180
2022-03-13,320
2022-03-14,250
2022-03-15,250
2022-03-16,290
2022-03-17,50
2022-03-18,50
2022-03-19,50
2022-03-20,230
2022-03-21,320
2022-03-22,270
2022-03-23,250
2022-03-24,200
2022-03-25,50
2022-03-26,230
2022-03-27,320
2022-03-28,270
2022-03-29,270
2022-03-30,50
2022-03-31,340
2022-04-01,270
2022-04-02,270
2022-04-03,270
2022-04-04,250
2022-04-05,200
2022-04-06,270
2022-04-07,200
2022-04-08,200
2022-04-09,200
2022-04-10,270
2022-04-11,230
2022-04-12,290
2022-04-13,50
2022-04-14,50
2022-04-15,290
2022-04-16,270
2022-04-17,270
2022-04-18,250
2022-04-19,250
2022-04-20,230
2022-04-21,200
2022-04-22,230
2022-04-23,110
2022-04-24,270
2022-04-25,110
2022-04-26,290
2022-04-27,320
2022-04-28,50
2022-04-29,50
2022-04-30,270
2022-05-01,230
2022-05-02,250
2022-05-03,180
2022-05-04,230
2022-05-05,270
2022-05-06,200
2022-05-07,290
2022-05-08,50
2022-05-09,110
2022-05-10,160
2022-05-11,230
2022-05-12,250
2022-05-13,290
2022-05-14,270
2022-05-15,270
2022-05-16,230
2022-05-17,180
2022-05-18,200
2022-05-19,180
2022-05-20,270
2022-05-21,270
2022-05-22,180
2022-05-23,250
2022-05-24,250
